name,source_url,description
Anime,https://www.kaggle.com/datasets/aludosan/myanimelist-anime-dataset-as-20190204,"Metadata on thousands of anime titles including genre, studio, episode count, airing dates, and audience ratings from MyAnimeList."
UK_Traffic_Accidents,https://www.kaggle.com/datasets/salmankhaliq22/road-traffic-collision-dataset,"Road traffic collision records across the United Kingdom from 2005 to 2010, including severity, location, weather, and road conditions."
Olympics,https://www.kaggle.com/datasets/heesoo37/120-years-of-olympic-history-athletes-and-results,"120 years of Olympic Games athlete records, including personal details, country, sport, event, and medal results."
Steam_Games,https://www.kaggle.com/datasets/artermiloff/steam-games-dataset/data,"Steam game listings including price, reviews, achievements, playtime statistics, and platform availability."
VDem_Democracy,https://www.v-dem.net/data/the-v-dem-dataset,"Country-by-year measures of democratic governance worldwide, covering electoral, liberal, participatory, deliberative, and egalitarian dimensions of democracy."
Global_Emissions,https://www.kaggle.com/datasets/shreyanshdangi/co-emissions-across-countries-regions-and-sectors/data,"Historical CO2 and greenhouse gas emissions data by country and region from 1850 to 2023, including population, GDP, and temperature change."
NYC_Taxi,https://data.cityofnewyork.us/Transportation/2023-Green-Taxi-Trip-Data/peyi-gg4n/about_data,"2023 New York City green taxi trip records, including pickup/dropoff times, locations, fares, and payment details."
Policing_Charlotte,https://openpolicing.stanford.edu/data/,"Traffic stop records from the Charlotte, North Carolina police department, including driver demographics, stop reasons, and outcomes."
Global_Terrorism,https://www.kaggle.com/datasets/START-UMD/gtd,"Global record of terrorist attacks from 1970 to 2017, including date, location, attack/weapon/target type, perpetrator group, and casualty and ransom figures."
Storm_Events,https://www.ncdc.noaa.gov/stormevents/,"NOAA National Weather Service storm event records, including event type, timing, location, magnitude, and injury, death, and property damage figures."
US_Accidents,https://www.kaggle.com/datasets/sobhanmoosavi/us-accidents,"Countrywide traffic accident records across the US from 2016 to 2023, including location, weather conditions, road features, and time of occurrence."
Global_Weather,https://www.kaggle.com/datasets/nelgiriyewithana/global-weather-repository,"Daily weather readings for cities worldwide, including temperature, wind, pressure, precipitation, air quality, and sun/moon timing."
Earthquakes,https://www.kaggle.com/datasets/usgs/earthquake-database,"Significant earthquakes of magnitude 5.5 or higher recorded worldwide since 1965, including location, depth, magnitude, and reporting source."
NYC_Restaurant_Inspections,https://www.kaggle.com/datasets/new-york-city/nyc-inspections,"New York City restaurant health inspection records, including violation codes and descriptions, inspection scores, and letter grades."
SF_Restaurant_Inspections,https://www.kaggle.com/datasets/san-francisco/sf-restaurant-scores-lives-standard,"San Francisco restaurant health inspection records, including business location, inspection scores, violation risk categories, and neighborhood/district boundaries."
Flight_Delays,https://www.kaggle.com/datasets/usdot/flight-delays,"2015 US domestic commercial flight records, including scheduled and actual departure/arrival times, delay causes, and airport-to-airport routes."
NYC_Airbnb,https://www.kaggle.com/datasets/dgomonov/new-york-city-airbnb-open-data,"New York City Airbnb listings, including borough/neighborhood, location, room type, pricing, and review activity."
Airbnb_Listings,https://www.kaggle.com/datasets/mysarahmadbhat/airbnb-listings-reviews,"Airbnb listings across multiple major cities worldwide, including host details, location, property/room type, pricing, and review scores."
Sustainable_Energy,https://www.kaggle.com/datasets/anshtanwar/global-data-on-sustainable-energy,"Country-by-year sustainable energy and economic indicators worldwide, including electricity access, renewable energy mix, CO2 emissions, and GDP."
Hospital_Admissions,https://www.kaggle.com/datasets/ashishsahani/hospital-admissions-data,"Patient admission records from a single Indian cardiology hospital, including admission/discharge dates, demographics, lab values, and comorbidity flags."
